#    L    TT             EE             TE             PP             TP          
   278   0.449560E+04   0.506797E+01   0.959460E+02   0.184755E+07   0.125396E+04
   279   0.446781E+04   0.520125E+01   0.969612E+02   0.183992E+07   0.124322E+04
   280   0.443973E+04   0.533638E+01   0.979633E+02   0.183234E+07   0.123256E+04
   281   0.441150E+04   0.547344E+01   0.989300E+02   0.182480E+07   0.122198E+04
   282   0.438284E+04   0.561214E+01   0.998687E+02   0.181732E+07   0.121147E+04
   283   0.435403E+04   0.575271E+01   0.100780E+03   0.180988E+07   0.120104E+04
   284   0.432500E+04   0.589506E+01   0.101662E+03   0.180249E+07   0.119069E+04
   285   0.429575E+04   0.603920E+01   0.102517E+03   0.179514E+07   0.118041E+04
   286   0.426621E+04   0.618499E+01   0.103337E+03   0.178784E+07   0.117020E+04
   287   0.423645E+04   0.633243E+01   0.104137E+03   0.178059E+07   0.116007E+04
   288   0.420654E+04   0.648152E+01   0.104901E+03   0.177338E+07   0.115000E+04
   289   0.417641E+04   0.663219E+01   0.105637E+03   0.176622E+07   0.114001E+04
   290   0.414613E+04   0.678429E+01   0.106346E+03   0.175910E+07   0.113009E+04
   291   0.411571E+04   0.693856E+01   0.107012E+03   0.175202E+07   0.112023E+04
   292   0.408484E+04   0.709390E+01   0.107657E+03   0.174499E+07   0.111045E+04
   293   0.405412E+04   0.724994E+01   0.108261E+03   0.173799E+07   0.110073E+04
   294   0.402311E+04   0.740816E+01   0.108844E+03   0.173105E+07   0.109107E+04
   295   0.399217E+04   0.756707E+01   0.109384E+03   0.172414E+07   0.108149E+04
   296   0.396093E+04   0.772818E+01   0.109897E+03   0.171727E+07   0.107196E+04
   297   0.392961E+04   0.788925E+01   0.110382E+03   0.171045E+07   0.106250E+04
   298   0.389808E+04   0.805251E+01   0.110825E+03   0.170366E+07   0.105310E+04
   299   0.386654E+04   0.821722E+01   0.111233E+03   0.169691E+07   0.104377E+04
   300   0.383485E+04   0.838190E+01   0.111606E+03   0.169021E+07   0.103449E+04
   301   0.380308E+04   0.854804E+01   0.111952E+03   0.168354E+07   0.102527E+04
   302   0.377132E+04   0.871489E+01   0.112270E+03   0.167691E+07   0.101611E+04
   303   0.373947E+04   0.888321E+01   0.112545E+03   0.167032E+07   0.100702E+04
   304   0.370755E+04   0.905299E+01   0.112779E+03   0.166377E+07   0.997977E+03
   305   0.367562E+04   0.922277E+01   0.112984E+03   0.165725E+07   0.988998E+03
   306   0.364361E+04   0.939327E+01   0.113155E+03   0.165077E+07   0.980079E+03
   307   0.361160E+04   0.956452E+01   0.113283E+03   0.164433E+07   0.971220E+03
   308   0.357959E+04   0.973799E+01   0.113391E+03   0.163793E+07   0.962421E+03
   309   0.354764E+04   0.991072E+01   0.113449E+03   0.163156E+07   0.953682E+03
   310   0.351561E+04   0.100835E+02   0.113479E+03   0.162523E+07   0.945003E+03
   311   0.348365E+04   0.102584E+02   0.113466E+03   0.161893E+07   0.936384E+03
   312   0.345176E+04   0.104327E+02   0.113426E+03   0.161268E+07   0.927826E+03
   313   0.341985E+04   0.106077E+02   0.113343E+03   0.160645E+07   0.919327E+03
   314   0.338802E+04   0.107835E+02   0.113232E+03   0.160026E+07   0.910889E+03
   315   0.335625E+04   0.109586E+02   0.113079E+03   0.159411E+07   0.902511E+03
   316   0.332454E+04   0.111344E+02   0.112890E+03   0.158799E+07   0.894194E+03
   317   0.329290E+04   0.113096E+02   0.112665E+03   0.158191E+07   0.885937E+03
   318   0.326133E+04   0.114862E+02   0.112406E+03   0.157586E+07   0.877740E+03
   319   0.322989E+04   0.116622E+02   0.112111E+03   0.156984E+07   0.869604E+03
   320   0.319859E+04   0.118382E+02   0.111788E+03   0.156386E+07   0.861529E+03
